Time,FlowEvap,KWPerTon,PerChilLoad,PerFreqFanA,PerFreqFanB,PerHumidity,PowChi,PowChiP,PowConP,PowFanA,PowFanB,PowIn,TempAmbient,TempCondIn,TempCondOut,TempEvapIn,TempEvapOut,TempWetbulb,Tons
2018-06-11 23:55:00,0.0018527272274999997,0.5032659119980064,0.4030888,0.7973216,0.7973216,0.6702613000000001,165600.0,17340.0,21620.0,4630.0,4920.0,214110.0,299.23254999999995,298.42999999999995,301.06,281.19,278.7,294.47135,1157223.0467345996
2018-06-12 00:00:00,0.0018582202634999999,0.5037029847874164,0.4058377,0.7973216,0.7973216,0.6777059,164900.0,17180.0,21930.0,4600.0,4760.0,213370.0,299.0376111111111,298.4,301.03,281.16999999999996,278.7,294.49722777777777,1151331.5032497195
2018-06-12 00:05:00,0.0018589952190000002,0.5001661061291842,0.4069605,0.7871751,0.7871751,0.6814707,165800.0,17240.0,21900.0,4530.0,4430.0,213900.0,299.0376111111111,298.40999999999997,301.04999999999995,281.2,278.7,294.53425,1165801.27186
2018-06-12 00:10:00,0.00185282712,0.5075819486061927,0.4091202,0.7871751,0.7871751,0.6838334,167700.0,17170.0,21880.0,4610.0,4580.0,215940.0,299.0376111111111,298.5,301.15999999999997,281.22999999999996,278.72999999999996,294.5783722222222,1161933.1728
2018-06-12 00:15:00,0.0018524569919999999,0.5068668303982214,0.4128484,0.7871751,0.7871751,0.6868449,168100.0,17330.0,21780.0,4510.0,4650.0,216370.0,299.0376111111111,298.53999999999996,301.21,281.23999999999995,278.72999999999996,294.61633333333333,1166347.8647219203
2018-06-12 00:20:00,0.001853630466,0.5099286897665332,0.410185,0.7871751,0.7871751,0.6868449,167200.0,17190.0,21820.0,4720.0,4690.0,215620.0,299.0376111111111,298.57,301.21999999999997,281.21999999999997,278.73999999999995,294.61497777777777,1153137.4663436813
2018-06-12 00:25:00,0.001867691124,0.5069978169370181,0.41124970000000005,0.7871751,0.7871751,0.6901569000000001,167500.0,17250.0,21870.0,4590.0,4520.0,215730.0,299.0376111111111,298.57,301.21,281.23999999999995,278.76,294.65070555555553,1161884.5558195196
2018-06-12 00:30:00,0.0018532571835000002,0.5143019972908914,0.4105507,0.7871751,0.7871751,0.6916439,168600.0,17230.0,21910.0,4430.0,4620.0,216790.0,298.8719888888889,298.59,301.26,281.23999999999995,278.76,294.63568888888886,1152905.2485180798
2018-06-12 00:35:00,0.00185812668,0.5024237953590603,0.4166068,0.7871751,0.7871751,0.6932899,169800.0,17200.0,22120.0,4420.0,4710.0,218250.0,298.8719888888889,298.59,301.28999999999996,281.27,278.71999999999997,294.6246944444444,1188561.731183999
2018-06-12 00:40:00,0.0018622096545,0.5013222096489406,0.4193165,0.7983418,0.7983418,0.6970784000000001,169800.0,17170.0,21800.0,4680.0,4900.0,218350.0,298.70518888888887,298.53,301.22999999999996,281.26,278.71,294.5469722222222,1191173.4299945992
2018-06-12 00:45:00,0.001861361094,0.5037107002087154,0.4176992,0.7983418,0.7983418,0.6970784000000001,171200.0,17250.0,21740.0,4790.0,4940.0,219920.0,298.70518888888887,298.51,301.22999999999996,281.27,278.71,294.53414444444445,1195299.7830246396
2018-06-12 00:50:00,0.0018532351019999998,0.5089832363859466,0.4113075,0.7983418,0.7983418,0.7024928,168200.0,17150.0,21980.0,4760.0,4640.0,216730.0,298.70518888888887,298.5,301.17999999999995,281.22999999999996,278.72999999999996,294.58343888888885,1162189.0238800002
2018-06-12 00:55:00,0.0018656375444999998,0.5020882774348865,0.4120799,0.7983418,0.7983418,0.7099048,167700.0,17140.0,21670.0,4650.0,4840.0,216000.0,298.53644444444444,298.48999999999995,301.15999999999997,281.21999999999997,278.71,294.5522444444444,1174646.6318893202
2018-06-12 01:00:00,0.0018617101919999998,0.5029546635758939,0.4145264,0.7983418,0.7983418,0.7081716999999998,166300.0,17100.0,21890.0,4880.0,4900.0,215070.0,298.53644444444444,298.46,301.10999999999996,281.2,278.71,294.4890222222222,1162833.85300608
2018-06-12 01:05:00,0.0018651507000000001,0.5006260797071002,0.415695,0.7983418,0.7983418,0.7097952,168500.0,17170.0,21820.0,4600.0,4880.0,216970.0,298.53644444444444,298.42999999999995,301.12,281.22999999999996,278.7,294.5026111111111,1183697.3954959987
2018-06-12 01:10:00,0.0018570993645,0.5003332859904067,0.4157613,0.7983418,0.7983418,0.7154725000000001,169000.0,17280.0,21930.0,4880.0,4780.0,217870.0,298.3692333333333,298.47999999999996,301.16999999999996,281.25,278.7,294.52722777777774,1187904.602742599
2018-06-12 01:15:00,0.0018556503975,0.4990552271586173,0.4309384,0.7983418,0.7983418,0.7208815,172400.0,17220.0,22060.0,4930.0,4850.0,221460.0,298.3692333333333,298.47999999999996,301.24,281.29999999999995,278.69,294.49625555555554,1214906.6509506
2018-06-12 01:20:00,0.001864746924,0.5016307510476956,0.4146293,0.7983418,0.7983418,0.7208815,166800.0,17130.0,21780.0,5060.0,5030.0,215800.0,298.20253888888885,298.41999999999996,301.08,281.2,278.7,294.45720555555556,1169408.24456
2018-06-12 01:25:00,0.0018654146265,0.5046292892583674,0.40381100000000003,0.7983418,0.7983418,0.7251217,164500.0,17230.0,21860.0,4730.0,4860.0,213180.0,298.20253888888885,298.4,301.01,281.15999999999997,278.71,294.4414444444444,1146430.4305117992
2018-06-12 01:30:00,0.001867314687,0.5015537611167741,0.4058122,0.7983418,0.7983418,0.7285586,165000.0,17170.0,21650.0,5060.0,5010.0,213890.0,298.20253888888885,298.40999999999997,301.03,281.16999999999996,278.7,294.48361666666665,1156966.3014946394
2018-06-12 01:35:00,0.0018658520505,0.5031637688240016,0.4050356,0.7983418,0.7983418,0.7262177,165400.0,17110.0,22230.0,5050.0,4950.0,214740.0,298.20253888888885,298.41999999999996,301.03999999999996,281.16999999999996,278.7,294.4488833333333,1156060.0690563594
2018-06-12 01:40:00,0.0018555284234999998,0.5091819637252262,0.4101725,0.7983418,0.7983418,0.7246991,167800.0,17290.0,21940.0,4750.0,4900.0,216680.0,298.20253888888885,298.41999999999996,301.09999999999997,281.2,278.71,294.4621611111111,1158972.6883016396
